Team,Seed,Date,PTS,Opp,Opp_Seed,Result,Round,Region,MP_team,FG_team,FGA_team,FG%_team,x2P_team,x2PA_team,x2P_perc_team,x3P_team,x3PA_team,x3P_perc_team,FT_team,FTA_team,FT_perc_team,PTS_team,FG_opp,FGA_opp,FG_perc_opp,x2P_opp,x2PA_opp,x2P_per_opp,x3P_opp,x3PA_opp,x3P_perc_opp,FT_opp,FTA_opp,FT_perc_opp,PTS_opp
Colorado,,1955-03-19 NCAA,75,Iowa,,W 75-54,National 3rd,West,,23,,,23,,,,,,29,40,0.725,75,16,,,16,,,,,,22,29,0.759,54
La Salle,,1955-03-19 NCAA,63,San Francisco,,L 63-77,National Final,East,,24,68,0.353,24,68,0.353,,,,15,23,0.652,63,31,73,0.425,31,73,0.425,,,,15,20,0.75,77
Iowa,,1955-03-19 NCAA,54,Colorado,,L 54-75,National 3rd,East,,16,,,16,,,,,,22,29,0.759,54,23,,,23,,,,,,29,40,0.725,75
La Salle,,1955-03-18 NCAA,76,Iowa,,W 76-73,National Semi,East,,26,66,0.394,26,66,0.394,,,,24,29,0.828,76,25,75,0.333,25,75,0.333,,,,23,32,0.719,73
Iowa,,1955-03-18 NCAA,73,La Salle,,L 73-76,National Semi,East,,25,75,0.333,25,75,0.333,,,,23,32,0.719,73,26,66,0.394,26,66,0.394,,,,24,29,0.828,76
San Francisco,,1955-03-18 NCAA,62,Colorado,,W 62-50,National Semi,West,,22,43,0.512,22,43,0.512,,,,18,28,0.643,62,14,49,0.286,14,49,0.286,,,,22,30,0.733,50
Colorado,,1955-03-18 NCAA,50,San Francisco,,L 50-62,National Semi,West,,14,49,0.286,14,49,0.286,,,,22,30,0.733,50,22,43,0.512,22,43,0.512,,,,18,28,0.643,62
La Salle,,1954-03-20 NCAA,92,Bradley,,W 92-76,National Final,East,,37,91,0.407,37,91,0.407,,,,18,24,0.75,92,22,80,0.275,22,80,0.275,,,,32,44,0.727,76
Bradley,,1954-03-20 NCAA,76,La Salle,,L 76-92,National Final,West,,22,80,0.275,22,80,0.275,,,,32,44,0.727,76,37,91,0.407,37,91,0.407,,,,18,24,0.75,92
Penn State,,1954-03-20 NCAA,70,USC,,W 70-61,National 3rd,East,,27,66,0.409,27,66,0.409,,,,16,23,0.696,70,17,50,0.34,17,50,0.34,,,,27,37,0.73,61
USC,,1954-03-20 NCAA,61,Penn State,,L 61-70,National 3rd,West,,17,50,0.34,17,50,0.34,,,,27,37,0.73,61,27,66,0.409,27,66,0.409,,,,16,23,0.696,70
