Team,Seed,Date,PTS,Opp,Opp_Seed,Result,Round,Region,MP_team,FG_team,FGA_team,FG%_team,x2P_team,x2PA_team,x2P_perc_team,x3P_team,x3PA_team,x3P_perc_team,FT_team,FTA_team,FT_perc_team,PTS_team,FG_opp,FGA_opp,FG_perc_opp,x2P_opp,x2PA_opp,x2P_per_opp,x3P_opp,x3PA_opp,x3P_perc_opp,FT_opp,FTA_opp,FT_perc_opp,PTS_opp
Ohio State,,1946-03-23 NCAA,57,North Carolina,,L 57-60 (OT),National Semi,East,,19,,,19,,,,,,19,30,0.633,57,23,,,23,,,,,,14,29,0.483,60
Oklahoma State,,1946-03-23 NCAA,52,California,,W 52-35,National Semi,West,,20,,,20,,,,,,12,14,0.857,52,14,,,14,,,,,,7,12,0.583,35
Cal,,1946-03-23 NCAA,35,Oklahoma State,,L 35-52,National Semi,West,,14,,,14,,,,,,7,12,0.583,35,20,,,20,,,,,,12,14,0.857,52
Oklahoma State,,1945-03-27 NCAA,49,NYU,,W 49-45,National Final,West,,22,,,22,,,,,,5,15,0.333,49,17,,,17,,,,,,11,17,0.647,45
NYU,,1945-03-27 NCAA,45,Oklahoma State,,L 45-49,National Final,East,,17,,,17,,,,,,11,17,0.647,45,22,,,22,,,,,,5,15,0.333,49
NYU,,1945-03-24 NCAA,70,Ohio State,,W 70-65 (OT),National Semi,East,,27,,,27,,,,,,16,27,0.593,70,23,,,23,,,,,,19,31,0.613,65
Oklahoma State,,1945-03-24 NCAA,68,Arkansas,,W 68-41,National Semi,West,,27,,,27,,,,,,14,20,0.7,68,16,,,16,,,,,,9,13,0.692,41
Ohio State,,1945-03-24 NCAA,65,NYU,,L 65-70 (OT),National Semi,East,,23,,,23,,,,,,19,31,0.613,65,27,,,27,,,,,,16,27,0.593,70
Arkansas,,1945-03-24 NCAA,41,Oklahoma State,,L 41-68,National Semi,West,,16,,,16,,,,,,9,13,0.692,41,27,,,27,,,,,,14,20,0.7,68
Utah,,1944-03-28 NCAA,42,Dartmouth,,W 42-40 (OT),National Final,West,225,16,72,0.222,16,72,0.222,,,,10,14,0.714,42,19,76,0.25,19,76,0.25,,,,2,5,0.4,40
Dartmouth,,1944-03-28 NCAA,40,Utah,,L 40-42 (OT),National Final,East,225,19,76,0.25,19,76,0.25,,,,2,5,0.4,40,16,72,0.222,16,72,0.222,,,,10,14,0.714,42
Dartmouth,,1944-03-25 NCAA,60,Ohio State,,W 60-53,National Semi,East,200,27,,,27,,,,,,6,11,0.545,60,22,,,22,,,,,,9,15,0.6,53
Ohio State,,1944-03-25 NCAA,53,Dartmouth,,L 53-60,National Semi,East,200,22,,,22,,,,,,9,15,0.6,53,27,,,27,,,,,,6,11,0.545,60
Utah,,1944-03-25 NCAA,40,Iowa State,,W 40-31,National Semi,West,,17,,,17,,,,,,6,,,40,13,,,13,,,,,,5,,,31
Iowa State,,1944-03-25 NCAA,31,Utah,,L 31-40,National Semi,West,,13,,,13,,,,,,5,,,31,17,,,17,,,,,,6,,,40
Wyoming,,1943-03-30 NCAA,46,Georgetown,,W 46-34,National Final,West,,19,,,19,,,,,,8,18,0.444,46,14,,,14,,,,,,6,14,0.429,34
Georgetown,,1943-03-30 NCAA,34,Wyoming,,L 34-46,National Final,East,,14,,,14,,,,,,6,14,0.429,34,19,,,19,,,,,,8,18,0.444,46
Wyoming,,1943-03-27 NCAA,58,Texas,,W 58-54,National Semi,West,,24,,,24,,,,,,10,19,0.526,58,20,,,20,,,,,,14,23,0.609,54
Texas,,1943-03-27 NCAA,54,Wyoming,,L 54-58,National Semi,West,,20,,,20,,,,,,14,23,0.609,54,24,,,24,,,,,,10,19,0.526,58
Georgetown,,1943-03-25 NCAA,53,DePaul,,W 53-49,National Semi,East,,20,,,20,,,,,,13,17,0.765,53,19,,,19,,,,,,11,16,0.688,49
DePaul,,1943-03-25 NCAA,49,Georgetown,,L 49-53,National Semi,East,,19,,,19,,,,,,11,16,0.688,49,20,,,20,,,,,,13,17,0.765,53
Stanford,,1942-03-28 NCAA,53,Dartmouth,,W 53-38,National Final,West,200,24,,,24,,,,,,5,8,0.625,53,17,,,17,,,,,,4,6,0.667,38
Dartmouth,,1942-03-28 NCAA,38,Stanford,,L 38-53,National Final,East,200,17,,,17,,,,,,4,6,0.667,38,24,,,24,,,,,,5,8,0.625,53
Dartmouth,,1942-03-21 NCAA,47,Kentucky,,W 47-28,National Semi,East,,20,,,20,,,,,,7,16,0.438,47,10,,,10,,,,,,8,13,0.615,28
Stanford,,1942-03-21 NCAA,46,Colorado,,W 46-35,National Semi,West,,19,,,19,,,,,,8,13,0.615,46,13,,,13,,,,,,9,11,0.818,35
Colorado,,1942-03-21 NCAA,35,Stanford,,L 35-46,National Semi,West,,13,,,13,,,,,,9,11,0.818,35,19,,,19,,,,,,8,13,0.615,46
Kentucky,,1942-03-21 NCAA,28,Dartmouth,,L 28-47,National Semi,East,,10,,,10,,,,,,8,13,0.615,28,20,,,20,,,,,,7,16,0.438,47
Wisconsin,,1941-03-29 NCAA,39,Washington State,,W 39-34,National Final,East,,16,,,16,,,,,,7,10,0.7,39,14,,,14,,,,,,6,12,0.5,34
Washington State,,1941-03-29 NCAA,34,Wisconsin,,L 34-39,National Final,West,,14,,,14,,,,,,6,12,0.5,34,16,,,16,,,,,,7,10,0.7,39
Washington State,,1941-03-22 NCAA,64,Arkansas,,W 64-53,National Semi,West,,26,,,26,,,,,,12,19,0.632,64,21,,,21,,,,,,11,22,0.5,53
Arkansas,,1941-03-22 NCAA,53,Washington State,,L 53-64,National Semi,West,,21,,,21,,,,,,11,22,0.5,53,26,,,26,,,,,,12,19,0.632,64
Wisconsin,,1941-03-22 NCAA,36,Pittsburgh,,W 36-30,National Semi,East,,10,,,10,,,,,,16,21,0.762,36,12,,,12,,,,,,6,7,0.857,30
Pittsburgh,,1941-03-22 NCAA,30,Wisconsin,,L 30-36,National Semi,East,,12,,,12,,,,,,6,7,0.857,30,10,,,10,,,,,,16,21,0.762,36
Indiana,,1940-03-30 NCAA,60,Kansas,,W 60-42,National Final,East,,26,,,26,,,,,,8,11,0.727,60,15,,,15,,,,,,12,20,0.6,42
Kansas,,1940-03-30 NCAA,42,Indiana,,L 42-60,National Final,West,,15,,,15,,,,,,12,20,0.6,42,26,,,26,,,,,,8,11,0.727,60
Kansas,,1940-03-23 NCAA,43,USC,,W 43-42,National Semi,West,,16,,,16,,,,,,11,19,0.579,43,18,,,18,,,,,,6,13,0.462,42
USC,,1940-03-23 NCAA,42,Kansas,,L 42-43,National Semi,West,,18,,,18,,,,,,6,13,0.462,42,16,,,16,,,,,,11,19,0.579,43
Indiana,,1940-03-23 NCAA,39,Duquesne,,W 39-30,National Semi,East,200,13,56,0.232,13,56,0.232,,,,13,19,0.684,39,11,47,0.234,11,47,0.234,,,,8,17,0.471,30
Duquesne,,1940-03-23 NCAA,30,Indiana,,L 30-39,National Semi,East,200,11,47,0.234,11,47,0.234,,,,8,17,0.471,30,13,56,0.232,13,56,0.232,,,,13,19,0.684,39
Oregon,,1939-03-27 NCAA,46,Ohio State,,W 46-33,National Final,West,,17,,,17,,,,,,12,16,0.75,46,14,,,14,,,,,,5,10,0.5,33
Ohio State,,1939-03-27 NCAA,33,Oregon,,L 33-46,National Final,East,,14,,,14,,,,,,5,10,0.5,33,17,,,17,,,,,,12,16,0.75,46
Oregon,,1939-03-21 NCAA,55,Oklahoma,,W 55-37,National Semi,West,,19,,,19,,,,,,17,22,0.773,55,14,,,14,,,,,,9,13,0.692,37
Oklahoma,,1939-03-21 NCAA,37,Oregon,,L 37-55,National Semi,West,,14,,,14,,,,,,9,13,0.692,37,19,,,19,,,,,,17,22,0.773,55
Ohio State,,1939-03-18 NCAA,53,Villanova,,W 53-36,National Semi,East,,21,,,21,,,,,,11,15,0.733,53,15,,,15,,,,,,6,13,0.462,36
Villanova,,1939-03-18 NCAA,36,Ohio State,,L 36-53,National Semi,East,,15,,,15,,,,,,6,13,0.462,36,21,,,21,,,,,,11,15,0.733,53
